COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd-j    250                 root   37u  unix 0xffff8df68adaa800      0t0  11393 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   38u  unix 0xffff8df68bdf0000      0t0   9617 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   39u  unix 0xffff8df68ada9c00      0t0   8646 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   40u  unix 0xffff8df68c5ebc00      0t0   9394 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   41u  unix 0xffff8df5b13c3400      0t0  24401 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   42u  unix 0xffff8df68b881c00      0t0  11468 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   43u  unix 0xffff8df68b881000      0t0  11428 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   44u  unix 0xffff8df581256c00      0t0  12501 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   45u  unix 0xffff8df58668ac00      0t0  18516 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   46u  unix 0xffff8df5c8ba1c00      0t0  18131 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   47u  unix 0xffff8df5b13cd400      0t0  22382 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   48u  unix 0xffff8df5c8ba9c00      0t0  19609 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   49u  unix 0xffff8df5b13a0800      0t0  18205 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   50u  unix 0xffff8df5b13a2c00      0t0  18237 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   51u  unix 0xffff8df586669c00      0t0  14375 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   52u  unix 0xffff8df586668800      0t0  22636 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   53u  unix 0xffff8df5966dcc00      0t0  22638 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   54u  unix 0xffff8df68bf12000      0t0 251009 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   55u  unix 0xffff8df5b13c0000      0t0  25972 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   56u  unix 0xffff8df5b107ec00      0t0  11948 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   57u  unix 0xffff8df5b4a78800      0t0  35286 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   58u  unix 0xffff8df5c8ba2000      0t0  18239 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   59u  unix 0xffff8df5b4a7a800      0t0  35339 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   60u  unix 0xffff8df5c8baa400      0t0  35371 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   61u  unix 0xffff8df5966ba000      0t0  35374 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   62u  unix 0xffff8df59e415c00      0t0  18278 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   63u  unix 0xffff8df586678400      0t0  13637 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   64u  unix 0xffff8df5966b6800      0t0  18292 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   65u  unix 0xffff8df62583a000      0t0  36726 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    250                 root   76u  unix 0xffff8df59e415000      0t0  15060 /run/systemd/journal/stdout type=STREAM (CONNECTED)
