total 0
dr-x------ 2 root root 248 Nov 20 03:38 .
dr-xr-xr-x 9 root root   0 Nov 20 03:38 ..
lrwx------ 1 root root  64 Nov 20 03:38 60 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 61 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 62 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 63 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 64 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 65 -> /sys/fs/cgroup/init.scope/memory.pressure
lrwx------ 1 root root  64 Nov 20 03:38 66 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 67 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 68 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 69 -> anon_inode:bpf-prog
lr-x------ 1 root root  64 Nov 20 03:38 7 -> /sys/fs/cgroup
lrwx------ 1 root root  64 Nov 23 12:18 70 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 12:18 71 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 72 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 73 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 12:18 74 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 75 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 20 03:38 76 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 12:18 77 -> socket:[4418]
lrwx------ 1 root root  64 Nov 23 12:18 78 -> socket:[4419]
lrwx------ 1 root root  64 Nov 23 12:18 79 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 12:16 8 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 20 03:38 80 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 12:18 81 -> socket:[4275]
lrwx------ 1 root root  64 Nov 23 12:18 82 -> socket:[8392]
lrwx------ 1 root root  64 Nov 23 12:18 83 -> socket:[8393]
lrwx------ 1 root root  64 Nov 23 12:18 84 -> socket:[11933]
lrwx------ 1 root root  64 Nov 20 03:38 85 -> socket:[11934]
lrwx------ 1 root root  64 Nov 23 12:18 86 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 12:21 87 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 12:18 88 -> anon_inode:[timerfd]
lrwx------ 1 root root  64 Nov 23 12:18 89 -> anon_inode:[pidfd]
l--------- 1 root root  64 Nov 20 03:38 9 -> /usr/lib/systemd/systemd-executor
lrwx------ 1 root root  64 Nov 23 13:25 90 -> socket:[7959]
lrwx------ 1 root root  64 Nov 23 12:18 91 -> socket:[3738]
lrwx------ 1 root root  64 Nov 23 12:18 92 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:24 93 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 94 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:16 95 -> /dev/rfkill
lrwx------ 1 root root  64 Nov 23 12:18 96 -> socket:[4302]
lrwx------ 1 root root  64 Nov 23 12:18 97 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 98 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:17 99 -> anon_inode:[pidfd]
