74378f3cc000-74378f3cd000 r--p 00011000 08:02 929002                     /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
74378f3cd000-74378f3ce000 rw-p 00012000 08:02 929002                     /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
74378f3ce000-74378f3d2000 r--p 00000000 08:02 929102                     /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
74378f3d2000-74378f3ef000 r-xp 00004000 08:02 929102                     /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
74378f3ef000-74378f3f7000 r--p 00021000 08:02 929102                     /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
74378f3f7000-74378f3f9000 r--p 00028000 08:02 929102                     /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
74378f3f9000-74378f3fa000 rw-p 0002a000 08:02 929102                     /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
74378f3fa000-74378f3fc000 r--p 00000000 08:02 928867                     /usr/lib/x86_64-linux-gnu/libXpm.so.4.11.0
74378f3fc000-74378f40a000 r-xp 00002000 08:02 928867                     /usr/lib/x86_64-linux-gnu/libXpm.so.4.11.0
74378f40a000-74378f40c000 r--p 00010000 08:02 928867                     /usr/lib/x86_64-linux-gnu/libXpm.so.4.11.0
74378f40c000-74378f40d000 r--p 00011000 08:02 928867                     /usr/lib/x86_64-linux-gnu/libXpm.so.4.11.0
74378f40d000-74378f40e000 rw-p 00012000 08:02 928867                     /usr/lib/x86_64-linux-gnu/libXpm.so.4.11.0
74378f40e000-74378f416000 r--p 00000000 08:02 929114                     /usr/lib/x86_64-linux-gnu/libfontconfig.so.1.12.1
74378f416000-74378f445000 r-xp 00008000 08:02 929114                     /usr/lib/x86_64-linux-gnu/libfontconfig.so.1.12.1
74378f445000-74378f45c000 r--p 00037000 08:02 929114                     /usr/lib/x86_64-linux-gnu/libfontconfig.so.1.12.1
74378f45c000-74378f45e000 r--p 0004d000 08:02 929114                     /usr/lib/x86_64-linux-gnu/libfontconfig.so.1.12.1
74378f45e000-74378f45f000 rw-p 0004f000 08:02 929114                     /usr/lib/x86_64-linux-gnu/libfontconfig.so.1.12.1
74378f45f000-74378f464000 r--p 00000000 08:02 929442                     /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
74378f464000-74378f48c000 r-xp 00005000 08:02 929442                     /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
74378f48c000-74378f495000 r--p 0002d000 08:02 929442                     /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
74378f495000-74378f496000 r--p 00035000 08:02 929442                     /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
74378f496000-74378f497000 rw-p 00036000 08:02 929442                     /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
74378f497000-74378f4a5000 r--p 00000000 08:02 929144                     /usr/lib/x86_64-linux-gnu/libgd.so.3.0.11
74378f4a5000-74378f4cd000 r-xp 0000e000 08:02 929144                     /usr/lib/x86_64-linux-gnu/libgd.so.3.0.11
74378f4cd000-74378f4d7000 r--p 00036000 08:02 929144                     /usr/lib/x86_64-linux-gnu/libgd.so.3.0.11
74378f4d7000-74378f4dd000 r--p 0003f000 08:02 929144                     /usr/lib/x86_64-linux-gnu/libgd.so.3.0.11
74378f4dd000-74378f4fc000 rw-p 00045000 08:02 929144                     /usr/lib/x86_64-linux-gnu/libgd.so.3.0.11
74378f4fc000-74378f500000 rw-p 00000000 00:00 0 
